Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d5.6p,114429*,5,,114429.55,,0.21,  16  5d5.(2G1).6p 3H*              :    16  5d5.(4F).6p         3G*  ,L20381
,114626*,3,,114626.41,,0.23,  14  5d5.(2D2).6p 3F*              :    12  5d5.(4F).6p         3G*  ,L20381
5d5.6p,115397*,6,,115397.82,,0.24,  27  5d5.(2H).6p 3H*               :    17  5d5.(2H).6p         3I*  ,L20381
,116047*,4,,116047.0,,0.4,  11  5d5.(2G2).6p 3F*              :    10  5d5.(2H).6p         3H*  ,L20381
5d5.6p,118106*,6,,118106.87,,0.19,  24  5d5.(2H).6p 1I*               :    22  5d5.(2G2).6p        3H*  ,L20381
5d5.6p,118639*,5,,118639.87,,0.21,  15  5d5.(2H).6p 3G*               :    14  5d5.(2G1).6p        1H*  ,L20381
5d4.6s.6p,118986*,7,,118986.3,,0.3,  39  5d4.(3H).6s.(4H).6p 5H*       :    32  5d4.(3H).6s.(4H).6p 5I*  ,L20381
,119127*,4,,119127.20,,0.22,  10  5d5.(2D3).6p 3F*              :     8  5d5.(2G1).6p        3F*  ,L20381
5d5.(2H).6p,1H*,5,,119255.88,,0.24,  49                                :     6  5d5.(2I).6p         3I*  ,L20381
5d4.6s.6p,121056*,4,,121056.3,,0.3,  24  5d4.(3H).6s.(4H).6p 5H*       :    10  5d4.(5D).6s.(6D).6p 5F*  ,L20381
5d4.6s.6p,121208*,6,,121208.11,,0.21,  34  5d4.(3H).6s.(4H).6p 5G*       :     9  5d4.(3H).6s.(4H).6p 5H*  ,L20381
5d4.6s.6p,122748*,5,,122748.86,,0.24,  29  5d4.(5D).6s.(6D).6p 5F*       :    12  5d4.(5D).6s.(4D).6p 5F*  ,L20381
,124052*,6,,124052.1,,0.3,  33  5d5.(2G1).6p 3H*              :    11  5d4.(3G).6s.(4G).6p 5H*  ,L20381
5d4.6s.6p,124072*,5,,124072.9,,0.3,  18  5d4.(3H).6s.(2H).6p 3I*       :    11  5d4.(3G).6s.(4G).6p 5H*  ,L20381
5d4.6s.6p,125627*,5,,125627.6,,0.4,  19  5d4.(3G).6s.(4G).6p 5H*       :    16  5d4.(3H).6s.(4H).6p 5H*  ,L20381
Os IV (5d5 6S<5/2>),Limit,---,(,202000,),13000,                                                                      ,L8672c99
