Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,9/2,82 362.045,0.006,,,,,,,,,L18847
,,11/2,82 612.54,0.03,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)5s,e 6D,1/2,82 692.0128,0.0015,,,,,,,,,L18847
,,3/2,82 763.6664,0.0015,,,,,,,,,L18847
,,5/2,82 881.0977,0.0015,,,,,,,,,L18847
,,7/2,83 041.3193,0.0015,,,,,,,,,L18847
,,9/2,83 240.4199,0.0015,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(a 1D)4p,w 2P°,1/2,82 853.897,0.003,,89,,,,9,3d4(3D)4p,2P°,"L18847,L7185"
,,3/2,82 919.9102,0.0016,,78,,,,11,3d4(3D)4p,2P°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(5D)5s,e 4D,1/2,84 209.7833,0.0015,,,,,,,,,L18847
,,3/2,84 320.1382,0.0015,,,,,,,,,L18847
,,5/2,84 495.6133,0.0015,,,,,,,,,L18847
,,7/2,84 726.6771,0.0015,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(1F)4p,u 2F°,5/2,84 604.6448,0.0015,,89,,,,,,,"L18847,L7185"
,,7/2,84 677.1075,0.0015,,87,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d3(4F)4s4p(3P°),u 4D°,1/2,85 486.161,0.008,,,,,,,,,L18847
,,3/2,85 586.522,0.005,,,,,,,,,L18847
,,5/2,85 778.650,0.003,,,,,,,,,L18847
,,7/2,86 078.817,0.003,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(1F)4p,v 2G°,7/2,85 573.1233,0.0016,,95,,,,,,,"L18847,L7185"
,,9/2,85 939.0149,0.0016,,97,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(5D)4d,e 4S,3/2,86 165.2692,0.0016,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(1F)4p,v 2D°,5/2,86 507.3205,0.0016,,75,,,,13,3d4(b 3P)4p,2D°,"L18847,L7185"
,,3/2,86 919.0032,0.0016,,79,,,,12,3d4(b 3P)4p,2D°,"L18847,L7185"
,,,,,,,,,,,,,
3d3(4F)4s4p(3P°),u 4G°,5/2,86 566.459,0.004,,,,,,,,,L18847
,,7/2,86 797.245,0.003,,,,,,,,,L18847
,,9/2,87 092.562,0.004,,,,,,,,,L18847
,,11/2,87 450.434,0.002,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4d,e 6G,3/2,86 594.3737,0.0016,,,,,,,,,L18847
,,5/2,86 654.1724,0.0016,,,,,,,,,L18847
,,7/2,86 738.2738,0.0016,,,,,,,,,L18847
,,9/2,86 847.0098,0.0016,,,,,,,,,L18847
,,11/2,86 980.0770,0.0016,,,,,,,,,L18847
,,13/2,87 137.0224,0.0016,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4d,e 6P,3/2,86 667.7179,0.0016,,,,,,,,,L18847
,,5/2,86 691.5178,0.0016,,,,,,,,,L18847
,,7/2,86 782.0490,0.0016,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4d,f 6D,1/2,87 453.4861,0.0016,,,,,,,,,L18847
