Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d5(b 2F)4p,3D°,1,147 556.29,0.11,81,,,,9,3d5(a 2F)4p,3D°,L11223
,,2,147 614.57,0.11,79,,,,10,3d5(a 2F)4p,3D°,L11223
,,3,147 635.76,0.10,75,,,,11,3d5(a 2F)4p,3D°,L11223
,,,,,,,,,,,,
3d5(2S)4p,3P°,0,148 661.51,0.15,85,,,,12,3d5(b 2D)4p,3P°,L11223
,,1,148 915.22,0.16,82,,,,12,3d5(b 2D)4p,3P°,L11223
,,2,149 525.40,0.12,82,,,,14,3d5(b 2D)4p,3P°,L11223
,,,,,,,,,,,,
3d5(2H)4p,1G°,4,149 013.21,0.10,43,3d5(b 2F)4p,1G°,,35,3d5(2H)4p,1G°,L11223
,,,,,,,,,,,,
3d5(6S)5s,7S,3,149 285.19,0.23,,,,,,,,L7185
,,,,,,,,,,,,
3d5(b 2F)4p,1F°,3,150 654.55,0.11,93,,,,,,,L11223
,,,,,,,,,,,,
3d5(6S)4d,5D,3,151 534.30,0.09,,,,,,,,L7185
,,2,151 535.03,0.10,,,,,,,,L7185
,,1,151 536.85,0.10,,,,,,,,L7185
,,4,151 537.99,0.10,,,,,,,,L7185
,,0,151 538.07,0.10,,,,,,,,L7185
,,,,,,,,,,,,
3d5(2S)4p,1P°,1,151 636.83,0.13,78,,,,16,3d5(b 2D)4p,1P°,L11223
,,,,,,,,,,,,
3d5(6S)5s,5S,2,151 757.82,0.09,,,,,,,,L7185
,,,,,,,,,,,,
3d5(b 2D)4p,3F°,2,157 684.17,0.23,82,,,,10,3d5(b 2D)4p,3D°,L11223
,,3,157 981.97,0.10,69,,,,17,3d5(b 2D)4p,3D°,L11223
,,4,158 562.54,0.13,93,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2D)4p,3D°,1,158 257.45,0.10,93,,,,,,,L11223
,,2,158 416.72,0.12,82,,,,10,3d5(b 2D)4p,3F°,L11223
,,3,158 729.33,0.11,74,,,,20,3d5(b 2D)4p,3F°,L11223
