Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d3(4F)4d,5G,2,72 878.0558,0.0012,,71,,,,27,3d3(4F)4d,5F,L20009
,,3,72 951.5577,0.0015,,62,,,,37,3d3(4F)4d,5F,L20009
,,4,73 063.7177,0.0011,,57,,,,41,3d3(4F)4d,5F,L20009
,,5,73 223.3529,0.0014,,53,,,,46,3d3(4F)4d,5F,L20009
,,6,73 499.7723,0.0016,,98,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)4d,3D,1,73 181.640,0.003,,89,,,,7,3d3(4F)4d,5F,L20009
,,2,73 310.0695,0.0021,,92,,,,,,,L20009
,,3,73 530.7114,0.0014,,94,,,,,,,L20009
,,,,,,,,,,,,,
3d2(3P)4s4p(3P°),x 3S°,1,74 723.163,0.015,,91,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)4d,3P,0,74 949.588,0.015,,95,,,,,,,L20009
,,1,75 080.739,0.005,,94,,,,,,,L20009
,,2,75 335.877,0.003,,94,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)4d,3H,4,75 140.640,0.003,,94,,,,,,,L20009
,,5,75 346.305,0.003,,94,,,,,,,L20009
,,6,75 592.4821,0.0024,,95,,,,,,,L20009
,,,,,,,,,,,,,
3d2(3P)4s4p(3P°),w 5D°,1,75 280.10†,0.22,,93,,,,5,3d2(3F)4s4p(3P°),5D°,L20009
,,2,75 401.13,0.13,,91,,,,5,3d2(3F)4s4p(3P°),5D°,L20009
,,3,75 574.07,0.15,,86,,,,5,3d2(3F)4s4p(3P°),5D°,L20009
,,4,75 824.83,0.10,,82,,,,11,3d2(1D)4s4p(3P°),3F°,L20009
,,,,,,,,,,,,,
3d3(4F)4d,3G,3,75 422.913,0.003,,93,,,,,,,L20009
,,4,75 615.399,0.0025,,91,,,,,,,L20009
,,5,75 854.2212,0.0019,,94,,,,,,,L20009
,,,,,,,,,,,,,
3d3(2D1)4p,t 3D°,1,75 716.036,0.014,0.50?,64,,,,19,3d3(2D2)4p,3D°,"L20009,L8201"
,,2,75 758.170,0.007,1.14?,58,,,,16,3d3(2D2)4p,3D°,"L20009,L8201"
,,3,75 847.967,0.007,1.27?,62,,,,17,3d3(2D2)4p,3D°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4d,3F,2,75 813.492,0.004,,92,,,,,,,L20009
,,3,75 966.120,0.003,,90,,,,,,,L20009
,,4,76 143.0526,0.0022,,89,,,,,,,L20009
,,,,,,,,,,,,,
3d2(3P)4s4p(3P°),y 1S°,0,75 821.22,0.15,,83,,,,14,3d2(1D)4s4p(3P°),3P°,L20009
